subject,word,order,judgment,judgment_z
subject1,archetypally,1,5,-1.215781409
subject1,depublicize,2,6,0.108069459
subject1,decoratorship,3,6,0.108069459
subject1,surveyorship,4,6,0.108069459
subject1,preprohibition,5,7,1.431920327
subject1,murkiness,6,7,1.431920327
subject1,preautomation,7,7,1.431920327
subject1,inscriptional,8,6,0.108069459
subject1,avoidability,9,7,1.431920327
subject1,overzealous,10,7,1.431920327
subject1,unallowable,11,6,0.108069459
subject1,herbally,12,7,1.431920327
subject1,unobtainable,13,7,1.431920327
subject1,preinstruction,14,7,1.431920327
subject1,nonabolition,15,5,-1.215781409
subject1,nonposition,16,5,-1.215781409
subject1,cataclysmically,17,5,-1.215781409
subject1,imitational,18,5,-1.215781409
subject1,desocialize,19,6,0.108069459
subject1,submemorial,20,6,0.108069459
subject1,depressionist,21,4,-2.539632278
subject1,absorptional,22,5,-1.215781409
subject1,overtedious,23,6,0.108069459
subject1,oversynonymous,24,6,0.108069459
subject1,cageiness,25,7,1.431920327
subject1,pelvically,26,6,0.108069459
subject1,nonprovision,27,6,0.108069459
subject1,suctionist,28,6,0.108069459
subject1,unacceptable,29,7,1.431920327
subject1,nontermination,30,7,1.431920327
subject1,nonerosion,31,7,1.431920327
subject1,oppressorship,32,6,0.108069459
subject1,accountability,33,7,1.431920327
subject1,nondomination,34,7,1.431920327
subject1,pretensionist,35,6,0.108069459
subject1,tropicalize,36,6,0.108069459
subject1,intercolloquial,37,6,0.108069459
subject1,perpetratorship,38,6,0.108069459
subject1,negotiational,39,6,0.108069459
subject1,interlogical,40,6,0.108069459
subject1,overgorgeous,41,6,0.108069459
subject1,permissionist,42,6,0.108069459
subject1,predifferentiation,43,6,0.108069459
subject1,enviability,44,7,1.431920327
subject1,spindliness,45,6,0.108069459
subject1,nonretaliation,46,6,0.108069459
subject1,doctrinalism,47,5,-1.215781409
subject1,selectorship,48,5,-1.215781409
subject1,solicitorship,49,6,0.108069459
subject1,abdominally,50,7,1.431920327
subject1,nondigression,51,6,0.108069459
subject1,precommunion,52,NA,NA
subject1,superoriginal,53,6,0.108069459
subject1,spikiness,54,7,1.431920327
subject1,preillumination,55,6,0.108069459
subject1,nonelimination,56,6,0.108069459
subject1,interoccasional,57,6,0.108069459
subject1,unavailable,58,7,1.431920327
subject1,nondissension,59,5,-1.215781409
subject1,preventionist,60,6,0.108069459
subject1,overbulbous,61,6,0.108069459
subject1,overglorious,62,5,-1.215781409
subject1,legislatorship,63,6,0.108069459
subject1,conductorship,64,6,0.108069459
subject1,substitutionist,65,5,-1.215781409
subject1,preinstitution,66,5,-1.215781409
subject1,preincarceration,67,5,-1.215781409
subject1,visualizer,68,7,1.431920327
subject1,collectorship,69,5,-1.215781409
subject1,successorship,70,6,0.108069459
subject1,overnervous,71,5,-1.215781409
subject1,triumphally,72,5,-1.215781409
subject1,injectional,73,6,0.108069459
subject1,preseduction,74,5,-1.215781409
subject1,beadiness,75,5,-1.215781409
subject1,disposability,76,5,-1.215781409
subject1,appreciational,77,6,0.108069459
subject1,refrigeratorship,78,NA,NA
subject1,preabortion,79,5,-1.215781409
